财务指标公式

分类	名称	果仁计算公式	备注
估值	市盈率	总市值/TTM(归属于母公司所有者的净利润,0)	即PE_TTM，等于总市值除以过去12个月的归属于母公司所有者的净利润
市净率	总市值/归属母公司股东权益合计	即PB，等于总市值除以归属母公司股东权益合计。
市销率	总市值/TTM(营业总收入,0)	即PS_TTM，等于总市值除以过去12个月的营业总收入。
市现率	总市值/ TTM(经营现金流量净额,0)	即PCF_TTM，等于总市值除以过去12个月的经营现金流量净额。
EV_EBITDA	(总市值+负债合计-货币资金) /(TTM(利润总额,0)+TTM(财务费用,0)+TTM(固定资产折旧,0)+TTM(无形资产摊销,0))	等于（总市值+负债合计-货币资金）除以过去12个月的（利润总额+财务费用+固定资产折旧+无形资产摊销）
股息率	上一年总现金分红/总市值	等于最近一年每股现金分红除以股票价格。
扣非市盈率	总市值/TTM(扣非净利润,0)	等于等于总市值除以过去12个月的扣非净利润
PEG	市盈率/归属于母公司所有者的净利润增长	市盈率/归属于母公司所有者的净利润增长
静态市盈率	总市值/annual（归属于母公司所有者的净利润， 0）	等于总市值/最近年报的归属于母公司所有者的净利润
动态市盈率	总市值/ if （Mod(当前季度ID，4）= 0， annual(归属于母公司所有者的净利润, 0)，accruQ（归属于母公司所有者的净利润，0）/Mod(当前季度ID，4） *  4)	等于总市值/归属于母公司所有者的净利润，净利润根据每期财报动态扩展到年报数据。
EP	TTM(归属于母公司所有者的净利润,0)/总市值	市盈率TTM的倒数， 等于过去12个月的归属于母公司所有者的净利润/总市值
BP 	归属母公司股东权益合计/总市值	市净率的倒数，等于归属母公司股东权益合计/总市值
偿债能力	流动比率	流动资产合计 / 流动负债合计	等于最近一季的流动资产合计除以流动负债合计。金融类公司此项为空值。
负债资产率	负债合计/ 资产总计	等于最近一季的负债合计除以资产总计。
产权比率	负债合计 / 归属母公司股东权益合计	等于最近一季的负债合计除以归属母公司股东权益合计。
账面杠杆	非流动负债合计/归属母公司股东权益合计	账面杠杆（Book leverage）。等于最近一季度的非流动负债合计/归属母公司股东权益合计。金融类公司此项为空值
市场杠杆	非流动负债合计/(非流动负债合计+总市值)	市场杠杆（Market leverage）。等于最近一季度的非流动负债合计/(最近一季度的非流动负债合计+当日总市值)。 金融类公司此项为空值
速动比率	(流动资产合计-存货)/ 流动负债合计	速动比率（Quick ratio）。等于最近一季的（流动资产合计-存货）/流动负债合计。金融类公司此项为空值。
超速动比率	（货币资金+交易性金融资产+应收票据+应收帐款+其他应收款）／流动负债合计	超速动比率，等于最近一季度的（货币资金+交易性金融资产+应收票据+应收帐款+其他应收款）／流动负债合计。 金融类公司此项为空值。
利息保障倍数	（利润总额+财务费用）／财务费用	最近一季度的（利润总额+财务费用）／财务费用
现金比率	TTM（期末现金及现金等价物余额，0）/流动负债合计	等于最近12个月的期末现金及现金等价物余额/流动负债合计
现金流动负债比	TTM(经营现金流量净额，0）/流动负债合计	等于最近12个月的经营现金流量净额/流动负债合计
　	　	　
资本结构	股东权益比率	归属母公司股东权益合计/资产总计	等于最近一季度的归属母公司股东权益合计/资产总计
固定资产比率	(固定资产+工程物资+在建工程)/资产总计	等于最近一季度的(固定资产+工程物资+在建工程)/资产总计
无形资产比率	(无形资产+开发支出+商誉)/资产总计	等于最近一季度的(无形资产+开发支出+商誉)/资产总计
非流动资产比率	非流动资产合计/总资产	等于最近一季度的非流动资产合计/总资产
股东权益与固定资产比率	归属母公司股东权益合计/(固定资产+工程物资+在建工程)	等于最近一季度的归属母公司股东权益合计/(固定资产+工程物资+在建工程)
　	　	　
盈利能力	营业利润率	TTM(营业利润,0) / TTM(营业收入,0)	过去12个月的营业利润除以过去12个月的营业收入
销售净利率	TTM(净利润,0) / TTM(营业收入,0)	过去12个月的净利润 除以过去12个月的营业收入
销售毛利率	(TTM(营业收入,0) - TTM(营业成本,0)) / TTM(营业收入,0)	过去12个月的(营业收入-营业成本)/营业收入
资产回报率	TTM(净利润,0)/AvgQ(资产总计,4,1)	过去12个月的净利润除以一季度前过去12个月的平均资产总计
5年资产回报率	(Annual(净利润，0)+Annual(净利润，1)+Annual(净利润，2)+Annual(净利润，3)+Annual(净利润，4))/(Annual(资产总计，1)+Annual(资产总计，2)+Annual(资产总计，3)+Annual(资产总计，4)+Annual(资产总计，5)) 	过去5年的净利润之和除以一年前的过去5年的资产总计之和
