factor,field_eligible,full_rank_icir,is_rank_icir,oos_rank_icir,sign_consistency,n_years,status,reason
liq_log_dollar_vol,True,-0.6934,-0.6206,-0.8065,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.806, sign-consistency=1.00)"
mom_intraday_20d,True,-0.6148,-0.569,-0.6817,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.682, sign-consistency=1.00)"
rev_max_return_20d,True,-0.6907,-0.709,-0.6712,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.671, sign-consistency=1.00)"
mom_ewm_60d,True,-0.5584,-0.4917,-0.6583,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.658, sign-consistency=1.00)"
mom_high_moment_20d,True,-0.6043,-0.5897,-0.6261,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.626, sign-consistency=1.00)"
liq_turnover_f_5d,True,-0.6273,-0.6387,-0.6113,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.611, sign-consistency=1.00)"
liq_vol_surge,True,-0.453,-0.3587,-0.5973,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.597, sign-consistency=1.00)"
mom_weighted_120d,True,-0.5156,-0.4579,-0.5972,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.597, sign-consistency=1.00)"
liq_turnover_ratio_5_60,True,-0.4426,-0.3432,-0.5966,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.597, sign-consistency=1.00)"
tech_price_to_ma60,True,-0.4965,-0.4339,-0.5942,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.594, sign-consistency=1.00)"
risk_vol_5d,True,-0.538,-0.5106,-0.5757,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.576, sign-consistency=1.00)"
risk_vol_10d,True,-0.5461,-0.5308,-0.5672,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.567, sign-consistency=1.00)"
liq_turnover_f_20d,True,-0.5838,-0.5963,-0.5661,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.566, sign-consistency=1.00)"
liq_amihud_20d,True,0.4407,0.3629,0.5648,0.923,13,candidate,"walk-forward stable (OOS ICIR=+0.565, sign-consistency=0.92)"
risk_skew_60d,True,-0.5155,-0.487,-0.5591,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.559, sign-consistency=1.00)"
tech_close_to_low_20d,True,-0.4824,-0.4348,-0.5499,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.550, sign-consistency=1.00)"
mom_ewm_20d,True,-0.4683,-0.4182,-0.5459,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.546, sign-consistency=1.00)"
liq_vol_cv_20d,True,-0.64,-0.7092,-0.545,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.545, sign-consistency=1.00)"
liq_turnover_5d,True,-0.5441,-0.5445,-0.5434,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.543, sign-consistency=1.00)"
tech_skew_20d,True,-0.4876,-0.4658,-0.5414,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.541, sign-consistency=1.00)"
risk_vol_20d,True,-0.5174,-0.5001,-0.5413,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.541, sign-consistency=1.00)"
liq_turnover_10d,True,-0.5293,-0.5288,-0.5298,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.530, sign-consistency=1.00)"
mom_return_20d,True,-0.4734,-0.4385,-0.5294,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.529, sign-consistency=1.00)"
liq_spread_proxy_20d,True,-0.5075,-0.5034,-0.5146,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.515, sign-consistency=1.00)"
risk_range_ratio_20d,True,-0.5007,-0.4943,-0.5108,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.511, sign-consistency=1.00)"
tech_rsi_28,True,-0.4169,-0.3584,-0.5014,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.501, sign-consistency=1.00)"
mom_return_60d,True,-0.466,-0.4425,-0.5006,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.501, sign-consistency=1.00)"
liq_turnover_20d,True,-0.4973,-0.496,-0.4989,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.499, sign-consistency=1.00)"
tech_ma20_ma60_ratio,True,-0.3973,-0.33,-0.4933,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.493, sign-consistency=1.00)"
mom_return_120d,True,-0.3726,-0.2906,-0.4923,0.923,13,candidate,"walk-forward stable (OOS ICIR=-0.492, sign-consistency=0.92)"
val_pb_change_60d,True,-0.5003,-0.5115,-0.4846,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.485, sign-consistency=1.00)"
val_bp,True,0.3472,0.267,0.4758,0.923,13,candidate,"walk-forward stable (OOS ICIR=+0.476, sign-consistency=0.92)"
val_bps_to_price,True,0.3426,0.2588,0.4752,0.923,13,candidate,"walk-forward stable (OOS ICIR=+0.475, sign-consistency=0.92)"
tech_price_to_ma20,True,-0.4125,-0.3751,-0.4738,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.474, sign-consistency=1.00)"
tech_ma5_ma20_ratio,True,-0.4009,-0.3618,-0.4651,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.465, sign-consistency=1.00)"
risk_vol_60d,True,-0.454,-0.4513,-0.4577,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.458, sign-consistency=1.00)"
mom_return_250d,True,-0.2981,-0.2237,-0.4321,0.846,13,candidate,"walk-forward stable (OOS ICIR=-0.432, sign-consistency=0.85)"
mom_overnight_20d,True,0.3166,0.2623,0.4186,0.923,13,candidate,"walk-forward stable (OOS ICIR=+0.419, sign-consistency=0.92)"
mom_return_10d,True,-0.3704,-0.348,-0.4066,1.0,13,candidate,"walk-forward stable (OOS ICIR=-0.407, sign-consistency=1.00)"
