factor,n_days_5d,rankic_days_5d,constant_xs_days_5d,mean_rank_ic_5d,rank_icir_5d,ic_hit_rate_5d,n_days_10d,rankic_days_10d,constant_xs_days_10d,mean_rank_ic_10d,rank_icir_10d,ic_hit_rate_10d,n_days_20d,rankic_days_20d,constant_xs_days_20d,mean_rank_ic_20d,rank_icir_20d,ic_hit_rate_20d,quantile_days_5d,quantile_min_buckets_5d,quantile_max_buckets_5d,reduced_quantile_dates_5d,monotonic,mono_corr,mono_p_value,ls_ann_return,ls_sharpe,ls_max_dd,grade
acc_net_share_issuance,1707,1707,0,0.005424585803547028,0.0873489811860461,0.5348564733450498,1707,1707,0,0.007412816427483687,0.10889358364776733,0.5553602811950791,1707,1707,0,0.009812996794698665,0.1330846681077374,0.5688342120679555,1707,3,4,1707,False,0.7999999999999999,0.20000000000000007,0.17629088461399078,1.4097179046223525,0.23274406790733337,D
liq_roll_spread_low_20d,1707,1707,0,0.020059835728469817,0.2983762392003792,0.6151142355008787,1707,1707,0,0.02738109095147025,0.400044823561355,0.6502636203866432,1707,1707,0,0.033277524325104196,0.46936168149973007,0.674282366725249,1707,1,5,1660,False,-0.6,0.28475697986529375,-0.8697987794876099,-4.3588935307934396,0.16366319358348846,C
liq_zero_ret_days_10d,1707,1707,0,0.012552452401584983,0.18271457282547324,0.5014645577035736,1707,1707,0,0.01648261001125424,0.23853113674920537,0.5184534270650264,1707,1707,0,0.02108717076564113,0.29645134976081927,0.5383714118336262,1707,1,2,1707,False,0.0,1.0,0.17937767505645752,1.0932968883479477,0.6078312397003174,C
liq_zero_ret_days_20d,1707,1707,0,0.01572382771238161,0.18062998582692472,0.50497949619215,1707,1707,0,0.02065388245202877,0.23370076202873197,0.5196250732278852,1707,1707,0,0.027249961854447474,0.2991860188451871,0.5442296426479203,1707,1,3,1707,False,-0.5,0.6666666666666667,-0.23670410103443065,-1.3737319696330712,0.21649560453079175,C
liq_zero_ret_days_5d,1707,1707,0,0.010305620239979281,0.1933174403938958,0.5055653192735794,1707,1707,0,0.012567889741644769,0.23424162760877762,0.5319273579379028,1707,1707,0,0.01601389385551524,0.2899854025708805,0.5424721734036321,1707,1,2,1707,False,0.0,1.0,0.029417164623737335,0.23283556112637266,0.08346111327409744,C
liq_zero_ret_ex_susp_20d,1707,1707,0,0.01572382771238161,0.18062998582692472,0.50497949619215,1707,1707,0,0.02065388245202877,0.23370076202873197,0.5196250732278852,1707,1707,0,0.027249961854447474,0.2991860188451871,0.5442296426479203,1707,1,3,1707,False,-0.5,0.6666666666666667,-0.23670410103443065,-1.3737319696330712,0.21649560453079175,C
mom_52w_high_proximity,1707,1707,0,-0.011341442105827822,-0.07079853559704599,0.4979496192149971,1707,1707,0,-0.008628703961901138,-0.050530017648256494,0.48857644991212656,1707,1707,0,-0.006393204924929322,-0.036241612272500445,0.5319273579379028,1707,5,5,0,False,-0.7,0.1881204043741873,-0.316105455160141,-0.7630365260939873,5.127422332763672,D
mom_continuous_info_252d_dir,1707,1707,0,-0.004755023224057377,-0.04511061112385988,0.5073227885178676,1707,1707,0,-0.006212177457081377,-0.05544265084179659,0.5002929115407148,1707,1707,0,-0.008573938807064516,-0.07224711394478152,0.5166959578207382,1707,5,5,0,False,-0.6,0.28475697986529375,-0.1799907386302948,-0.7147964474062731,2.749966621398926,D
mom_skip5d_120d,1707,1707,0,-0.02388866519960722,-0.1686720114022343,0.539543057996485,1707,1707,0,-0.029987174535056182,-0.20454012692711207,0.5688342120679555,1707,1707,0,-0.03080400412466235,-0.20512278528220607,0.5717633274751025,1707,5,5,0,True,-0.8999999999999998,0.03738607346849874,-0.5535256862640381,-1.622379587097341,5.396337985992432,C
mom_volscaled_120d,1707,1707,0,-0.03373097576538441,-0.24525099056501357,0.549502050380785,1707,1707,0,-0.03770842180685337,-0.25855116119808536,0.5653192735793791,1707,1707,0,-0.040211613884712206,-0.2649872018723404,0.5518453427065027,1707,5,5,0,True,-0.9999999999999999,1.4042654220543672e-24,-0.7609281539916992,-2.2094356573999763,6.934330463409424,C
