factor,n_days_5d,rankic_days_5d,constant_xs_days_5d,mean_rank_ic_5d,rank_icir_5d,ic_hit_rate_5d,n_days_10d,rankic_days_10d,constant_xs_days_10d,mean_rank_ic_10d,rank_icir_10d,ic_hit_rate_10d,n_days_20d,rankic_days_20d,constant_xs_days_20d,mean_rank_ic_20d,rank_icir_20d,ic_hit_rate_20d,quantile_days_5d,quantile_min_buckets_5d,quantile_max_buckets_5d,reduced_quantile_dates_5d,monotonic,mono_corr,mono_p_value,ls_ann_return,ls_sharpe,ls_max_dd,grade,oos_null_pct,oos_n_inf
acc_cash_roa_ttm,1241,1241,0,0.003153644392627501,0.037965504738883375,0.556809024979855,1236,1236,0,0.0019649724298802605,0.023184289963846492,0.5574433656957929,1226,1226,0,0.00020358119286566326,0.0022625472147578007,0.5856443719412724,1241,5,5,0,False,-0.3,0.6238376647810728,-0.15849773585796356,-0.6969291423389443,1.3100529909133911,D,0.62,0
acc_cfo_to_ni_ttm,1241,1241,0,0.008780523487957893,0.16463063839847078,0.5068493150684932,1236,1236,0,0.009544939849514327,0.17210146192247797,0.5396440129449838,1226,1226,0,0.011112493350166413,0.18520928009362322,0.5236541598694943,1241,5,5,0,False,0.3,0.6238376647810728,0.05125412717461586,0.46155002421450303,0.580858051776886,C,0.57,0
grow_n_income_attr_p_yoy_accel_q,1240,1240,0,0.003553451071360695,0.14155070735984174,0.49274193548387096,1235,1235,0,0.005362585594133418,0.19095819403248182,0.4801619433198381,1225,1225,0,0.007550652523024869,0.24985640733436865,0.4840816326530612,1240,2,5,423,True,0.8999999999999998,0.03738607346849874,0.1286068856716156,1.9560115570102816,0.21645957231521606,C,2.37,0
grow_n_income_attr_p_yoy_q,1241,1241,0,0.002324723622420819,0.035157803873444256,0.5221595487510072,1236,1236,0,0.0013198862978868122,0.019138777275729036,0.5388349514563107,1226,1226,0,0.00030991823624865634,0.004340499660688503,0.5350734094616639,1241,5,5,0,False,0.0,1.0,-0.05217989161610603,-0.358816723224313,0.907853364944458,D,1.16,0
grow_operate_profit_yoy_accel_q,1238,1240,2,0.0029180836303666522,0.11690939546673185,0.4975767366720517,1233,1235,2,0.004135675859641064,0.14989307655515816,0.5036496350364964,1223,1225,2,0.005905731627148847,0.19658662575033042,0.5224856909239575,1240,2,5,425,True,0.8999999999999998,0.03738607346849874,0.09881032365105548,1.4924218626315495,0.24131687473527563,C,2.45,2
grow_operate_profit_yoy_q,1240,1241,1,0.0018695792452047952,0.028846714894211922,0.4991935483870968,1235,1236,1,0.0006363642565133776,0.009460562709496821,0.5036437246963563,1225,1226,1,-0.0008402780067520568,-0.01188905015687328,0.5159183673469387,1241,4,5,1,False,-0.39999999999999997,0.5046315754686911,-0.04639869391963811,-0.3206091323146446,0.9339964837736261,D,1.21,1
grow_total_revenue_yoy_accel_q,749,1240,491,0.005096375849655209,0.1596603173419911,0.5060080106809078,744,1235,491,0.0071912907147154885,0.20822586399932574,0.5362903225806451,738,1225,487,0.009417013277511415,0.2565027227006839,0.5271002710027101,1240,1,5,656,False,0.7,0.1881204043741873,0.2844922341939857,3.444084254398133,0.16033312973740976,C,2.45,829
liq_zero_ret_days_10d,1241,1241,0,0.025273449979995134,0.3064540373958343,0.5245769540692989,1236,1236,0,0.029328803451238707,0.3448693562311808,0.5299352750809061,1226,1226,0,0.03564154758147534,0.41086330127062803,0.5293637846655791,1241,1,2,1241,False,0.0,1.0,0.4615083336830139,2.1431121334513468,0.43815088272094727,B,0.0,0
qual_piotroski_fscore_9pt,1241,1241,0,0.011702475594872455,0.1751662586955828,0.5423045930701047,1236,1236,0,0.013208053765924854,0.18772561207431376,0.5566343042071198,1226,1226,0,0.01551470685664261,0.20894171439099019,0.5464926590538336,1241,4,5,48,False,0.7,0.1881204043741873,0.22238605775433606,1.2029280792030757,0.6768743279317277,C,0.06,0
rev_turnover_spike_5d,1241,1241,0,0.03397680702073136,0.2682915047019192,0.6865431103948428,1236,1236,0,0.03338016460385412,0.27924685542908984,0.7119741100323624,1226,1226,0,0.032766513091359674,0.27585909981966567,0.7185970636215334,1241,5,5,0,False,0.3,0.6238376647810728,0.9138473868370056,2.6817727487602516,0.4253559112548828,C,0.5,0
val_ebit_ev_ttm,1241,1241,0,0.017045715783029648,0.13214164368992484,0.5551974214343272,1236,1236,0,0.016654271515264538,0.12472910438942775,0.563915857605178,1226,1226,0,0.016297059079892755,0.11348490617607553,0.5962479608482871,1241,5,5,0,False,-0.09999999999999999,0.8728885715695383,-0.20363479852676392,-0.6065767457049462,1.9148800373077393,C,8.3,0
val_fcf_ev_ttm,1241,1241,0,0.009512712940153075,0.12339943613266435,0.4786462530217567,1236,1236,0,0.010391716959498393,0.12968978956496408,0.4975728155339806,1226,1226,0,0.012066791378011706,0.1418618667673352,0.5114192495921697,1241,5,5,0,False,-0.3,0.6238376647810728,-0.028652232140302658,-0.14935265951653465,0.9853402376174927,C,3.23,0
val_retearn_yield,1241,1241,0,0.035026566543810485,0.25795262239029565,0.5068493150684932,1236,1236,0,0.03907259713997968,0.2795839430949483,0.46763754045307443,1226,1226,0,0.04486622327349128,0.3045012585338827,0.4298531810766721,1241,5,5,0,False,0.7999999999999999,0.10408803866182788,0.18477261066436768,0.5687613394144742,1.45720374584198,C,0.41,0
